"tg_ecotypeid","size","perimeter","length","width"
6235,0.175666666666667,1.60333333333333,0.586333333333333,0.376
6237,0.153,1.49566666666667,0.544666666666667,0.35
6238,0.150333333333333,1.47166666666667,0.530333333333333,0.353666666666667
6240,0.156666666666667,1.50866666666667,0.548333333333333,0.359666666666667
6241,0.153333333333333,1.496,0.543666666666667,0.353666666666667
6242,0.127,1.3275,0.462,0.346
6243,0.118666666666667,1.28166666666667,0.441333333333333,0.337
6244,0.134333333333333,1.38833333333333,0.502666666666667,0.332333333333333
6252,0.204,1.731,0.63,0.407
6258,0.166666666666667,1.553,0.566,0.365
6276,0.192666666666667,1.66433333333333,0.601,0.396333333333333
6284,0.146666666666667,1.439,0.501,0.369666666666667
6413,0.126666666666667,1.344,0.487,0.324666666666667
6900,0.122,1.326,0.459,0.33
6918,0.172,1.564,0.555,0.384666666666667
6964,0.140333333333333,1.427,0.519666666666667,0.339
6973,0.136,1.38766666666667,0.495,0.346
6974,0.122333333333333,1.30833333333333,0.455333333333333,0.338
7516,0.158,1.49733333333333,0.532,0.368666666666667
7517,0.173333333333333,1.58,0.568333333333333,0.38
7519,0.121333333333333,1.31266666666667,0.467333333333333,0.327333333333333
8222,0.133333333333333,1.38133333333333,0.493,0.337333333333333
8227,0.163,1.5335,0.5525,0.369
8230,0.129,1.35333333333333,0.479,0.338333333333333
8231,0.14,1.4035,0.487,0.3615
8237,0.13075,1.37225,0.49075,0.335
8240,0.1275,1.34,0.4695,0.3435
8241,0.131,1.3665,0.486666666666667,0.338833333333333
8242,0.13,1.36466666666667,0.483666666666667,0.337
8247,0.14975,1.458,0.50775,0.37175
8249,0.138333333333333,1.41033333333333,0.506,0.346
8256,0.136333333333333,1.39133333333333,0.498333333333333,0.345
8258,0.13,1.35575,0.47625,0.344
8259,0.123,1.313,0.4645,0.333
8283,0.133833333333333,1.382,0.489833333333333,0.3445
8306,0.136666666666667,1.40266666666667,0.497333333333333,0.347166666666667
8307,0.140111111111111,1.40366666666667,0.483555555555556,0.366333333333333
8326,0.132833333333333,1.37166666666667,0.481833333333333,0.347166666666667
8334,0.158,1.501,0.5315,0.3755
8335,0.146,1.43166666666667,0.502666666666667,0.361
8351,0.146,1.4475,0.5105,0.361
8369,0.141,1.423,0.503666666666667,0.353333333333333
8386,0.125666666666667,1.333,0.469333333333333,0.339
8387,0.1395,1.4145,0.5055,0.348
8422,0.136,1.39433333333333,0.493333333333333,0.348333333333333
8423,0.133,1.377,0.487,0.345
8426,0.133,1.37366666666667,0.487,0.344333333333333
9058,0.144,1.44433333333333,0.521,0.35
9321,0.1675,1.5755,0.58,0.36275
9323,0.152,1.48433333333333,0.538333333333333,0.351
9332,0.181333333333333,1.643,0.611,0.372666666666667
9336,0.1135,1.2565,0.445,0.3085
9339,0.15,1.45766666666667,0.515333333333333,0.363666666666667
9343,0.17925,1.60475,0.57,0.395
9353,0.127166666666667,1.33516666666667,0.4675,0.341
9363,0.1465,1.462,0.535,0.342
9369,0.123,1.32466666666667,0.472,0.327
9380,0.156,1.49733333333333,0.531,0.372
9382,0.187333333333333,1.678,0.615,0.380333333333333
9383,0.183666666666667,1.638,0.593,0.39
9386,0.166666666666667,1.54766666666667,0.557,0.374666666666667
9388,0.167,1.554,0.5545,0.377
9391,0.1265,1.34,0.469,0.3415
9392,0.116666666666667,1.289,0.446666666666667,0.330666666666667
9399,0.141666666666667,1.41133333333333,0.487333333333333,0.364666666666667
9404,0.133,1.37133333333333,0.486333333333333,0.346
9405,0.14,1.41666666666667,0.508666666666667,0.348
9407,0.1485,1.462,0.522,0.3605
9408,0.1155,1.287,0.4525,0.32375
9409,0.136,1.39733333333333,0.497333333333333,0.344
9412,0.134,1.37066666666667,0.485333333333333,0.344333333333333
9413,0.132,1.36433333333333,0.482666666666667,0.346666666666667
9416,0.1485,1.465,0.5315,0.348
9421,0.138333333333333,1.4,0.486666666666667,0.359333333333333
9427,0.157666666666667,1.51366666666667,0.547333333333333,0.360333333333333
9433,0.156,1.476,0.5145,0.378
9434,0.146,1.448,0.525,0.343
9436,0.136666666666667,1.389,0.486,0.354666666666667
9437,0.128,1.343,0.474,0.3405
9442,0.1625,1.514,0.5535,0.351
9450,0.145833333333333,1.45616666666667,0.522,0.350833333333333
9451,0.134,1.4,0.509,0.334
9452,0.140666666666667,1.43716666666667,0.527333333333333,0.336333333333333
9453,0.1215,1.31166666666667,0.458833333333333,0.331833333333333
9454,0.129,1.36266666666667,0.474,0.344333333333333
9470,0.143,1.42566666666667,0.509,0.346333333333333
9476,0.19,1.659,0.603,0.39
9481,0.15,1.477,0.518,0.366666666666667
