id,cohort,tray,row,col,genotype,generation,size1,size2,size3,observer,
1690,1,6,B,2,6913,parent,,,,,
391,1,6,B,3,6109x9343 rep2,F8,,,,,
85,1,6,B,4,1552x1158 rep1,F8,,,,,
1684,1,6,B,5,6284,parent,,,,,
784,1,6,B,6,6284x5830 rep1,F8,,,,,
601,1,6,C,1,6184x6025 rep1,F8,,,,,
136,1,6,C,2,5865x8426 rep2,F8,,,,,
658,1,6,C,3,6198x6118 rep2,F8,,,,,
238,1,6,C,4,6039x5835 rep2,F8,,,,,
1711,1,6,C,5,8222,parent,,,,,
502,1,6,C,6,6140x9388 rep2,F8,,,,,
643,1,6,D,1,6195x1074 rep1,F8,,,,,
613,1,6,D,2,6191x6965 rep1,F8,,,,,
949,1,6,D,3,8376x6201 rep2,F8,,,,,
1765,1,6,D,4,8386,parent,,,,,
280,1,6,D,5,6070x6019 rep2,F8,,,,,
358,1,6,D,6,6100x6069 rep2,F8,,,,,
1756,1,6,E,1,8351,parent,,,,,
868,1,6,E,2,8237x6194 rep1,F8,,,,,
1294,1,6,E,3,1074,parent,,,,,
379,1,6,E,4,6107x6128 rep1,F8,,,,,
1921,1,6,E,5,9471,parent,,,,,
763,1,6,E,6,6252x6202 rep2,F8,,,,,
742,1,6,F,1,6241x1552 rep1,F8,,,,,
1873,1,6,F,2,9409,parent,,,,,
1264,1,6,F,3,991x6210 rep1,F8,,,,,
1177,1,6,F,4,9421x8256 rep2,F8,,,,,
1282,1,6,F,5,1002,parent,,,,,
937,1,6,F,6,8351x6150 rep2,F8,,,,,
1009,1,6,G,1,9332x6413 rep2,F8,,,,,
820,1,6,G,2,6974x6102 rep1,F8,,,,,
1417,1,6,G,3,6069,parent,,,,,
1726,1,6,G,4,8240,parent,,,,,
1267,1,6,G,5,991x6210 rep2,F8,,,,,
934,1,6,G,6,8351x6150 rep1,F8,,,,,
1567,1,6,H,1,6154,parent,,,,,
880,1,6,H,2,8241x1137 rep1,F8,,,,,
1363,1,6,H,3,6017,parent,,,,,
1897,1,6,H,4,9437,parent,,,,,
724,1,6,H,5,6237x6090 rep1,F8,,,,,
73,1,6,H,6,1367x8256 rep1,F8,,,,,
265,1,7,A,1,6064x9404 rep1,F8,,,,,
1582,1,7,A,2,6172,parent,,,,,
1261,1,7,A,3,9481x9399 rep2,F8,,,,,
1204,1,7,A,4,9450x9356 rep1,F8,,,,,
184,1,7,A,5,6023x9380 rep1,F8,,,,,
157,1,7,A,6,6013x8241 rep2,F8,,,,,
1108,1,7,B,1,9395x9454 rep1,F8,,,,,
220,1,7,B,2,6035x9433 rep2,F8,,,,,
928,1,7,B,3,8334x8231 rep1,F8,,,,,
187,1,7,B,4,6024x1367 rep1,F8,,,,,
874,1,7,B,5,8240x6036 rep1,F8,,,,,
1708,1,7,B,6,7519,parent,,,,,
286,1,7,C,1,6071x6145 rep2,F8,,,,,
1156,1,7,C,2,9412x6024 rep1,F8,,,,,
625,1,7,C,3,6193x6133 rep1,F8,,,,,
1168,1,7,C,4,9416x6086 rep1,F8,,,,,
1015,1,7,C,5,9336x6220 rep2,F8,,,,,
1426,1,7,C,6,6073,parent,,,,,
823,1,7,D,1,6974x6102 rep2,F8,,,,,
1927,1,7,D,2,9481,parent,,,,,
796,1,7,D,3,6913x6149 rep1,F8,,,,,
628,1,7,D,4,6193x6133 rep2,F8,,,,,
1657,1,7,D,5,6238,parent,,,,,
706,1,7,D,6,6218x6043 rep2,F8,,,,,
952,1,7,E,1,8386x6241 rep1,F8,,,,,
1474,1,7,E,2,6106,parent,,,,,
1828,1,7,E,3,9382,parent,,,,,
1459,1,7,E,4,6099,parent,,,,,
481,1,7,E,5,6136x6064 rep1,F8,,,,,
1813,1,7,E,6,9363,parent,,,,,
1393,1,7,F,1,6036,parent,,,,,
223,1,7,F,2,6036x1318 rep1,F8,,,,,
133,1,7,F,3,5865x8426 rep1,F8,,,,,
700,1,7,F,4,6217x6126 rep2,F8,,,,,
313,1,7,F,5,6086x8222 rep2,F8,,,,,
277,1,7,F,6,6070x6019 rep1,F8,,,,,
1255,1,7,G,1,9476x991 rep2,F8,,,,,
739,1,7,G,2,6240x5831 rep2,F8,,,,,
496,1,7,G,3,6138x6122 rep2,F8,,,,,
1855,1,7,G,4,9399,parent,,,,,
