id,cohort,tray,row,col,genotype,generation
1640,2,17,F,5,6217,parent
1430,2,17,F,6,6074,parent
476,2,17,G,1,6134x6013 rep1,F8
524,2,17,G,2,6149x9395 rep1,F8
1121,2,17,G,3,9402x6169 rep1,F8
1106,2,17,G,4,9392x6073 rep2,F8
1745,2,17,G,5,8259,parent
455,2,17,G,6,6131x6113 rep2,F8
53,2,17,H,1,1254x6076 rep2,F8
1019,2,17,H,2,9343x8259 rep1,F8
1799,2,17,H,3,9339,parent
650,2,17,H,4,6197x6127 rep1,F8
503,2,17,H,5,6140x9388 rep2,F8
1091,2,17,H,6,9391x5867 rep1,F8
1478,2,18,A,1,6107,parent
194,2,18,A,2,6024x6124 rep1,F8
1553,2,18,A,3,6148,parent
41,2,18,A,4,1137x6237 rep2,F8
266,2,18,A,5,6064x9404 rep1,F8
26,2,18,A,6,1063x1435 rep1,F8
1202,2,18,B,1,9437x6197 rep2,F8
740,2,18,B,2,6240x5831 rep2,F8
374,2,18,B,3,6106x6071 rep1,F8
968,2,18,B,4,8422x6209 rep2,F8
956,2,18,B,5,8386x6241 rep2,F8
623,2,18,B,6,6192x1062 rep2,F8
1403,2,18,C,1,6040,parent
1487,2,18,C,2,6111,parent
1838,2,18,C,3,9388,parent
422,2,18,C,4,6124x6184 rep1,F8
1559,2,18,C,5,6150,parent
1277,2,18,C,6,997x8307 rep1,F8
1286,2,18,D,1,1061,parent
1763,2,18,D,2,8376,parent
1730,2,18,D,3,8241,parent
368,2,18,D,4,6105x5829 rep1,F8
860,2,18,D,5,8230x6195 rep2,F8
212,2,18,D,6,6034x6231 rep1,F8
1682,2,18,E,1,6276,parent
800,2,18,E,2,6913x6149 rep2,F8
200,2,18,E,3,6025x6046 rep1,F8
734,2,18,E,4,6238x6105 rep2,F8
872,2,18,E,5,8237x6194 rep2,F8
1310,2,18,E,6,1317,parent
497,2,18,F,1,6138x6122 rep2,F8
1280,2,18,F,2,997x8307 rep2,F8
383,2,18,F,3,6107x6128 rep2,F8
1166,2,18,F,4,9413x8423 rep2,F8
1085,2,18,F,5,9390x8283 rep1,F8
926,2,18,F,6,8307x9481 rep2,F8
1490,2,18,G,1,6112,parent
191,2,18,G,2,6024x1367 rep2,F8
1427,2,18,G,3,6073,parent
845,2,18,G,4,8222x6243 rep1,F8
1919,2,18,G,5,9470,parent
329,2,18,G,6,6092x6125 rep1,F8
1847,2,18,H,1,9392,parent
1295,2,18,H,2,1074,parent
482,2,18,H,3,6136x6064 rep1,F8
1871,2,18,H,4,9408,parent
545,2,18,H,5,6154x6221 rep2,F8
167,2,18,H,6,6019x6012 rep1,F8
1508,2,19,A,1,6124,parent
608,2,19,A,2,6189x6220 rep1,F8
1691,2,19,A,3,6913,parent
812,2,19,A,4,6918x9323 rep2,F8
1784,2,19,A,5,9058,parent
632,2,19,A,6,6193x9394 rep1,F8
305,2,19,B,1,6085x9409 rep1,F8
1865,2,19,B,2,9405,parent
1127,2,19,B,3,9404x9390 rep1,F8
1724,2,19,B,4,8237,parent
1136,2,19,B,5,9405x6100 rep2,F8
68,2,19,B,6,1318x6035 rep1,F8
542,2,19,C,1,6154x6221 rep1,F8
1472,2,19,C,2,6105,parent
761,2,19,C,3,6252x6202 rep1,F8
245,2,19,C,4,6040x6041 rep2,F8
851,2,19,C,5,8227x6216 rep1,F8
227,2,19,C,6,6036x1318 rep2,F8
1046,2,19,D,1,9369x9434 rep1,F8
959,2,19,D,2,8387x6238 rep1,F8
683,2,19,D,3,6209x6151 rep2,F8
80,2,19,D,4,1435x6240 rep1,F8
464,2,19,D,5,6133x6020 rep1,F8
1235,2,19,D,6,9455x9371 rep1,F8
710,2,19,E,1,6220x9339 rep1,F8
1379,2,19,E,2,6024,parent
1097,2,19,E,3,9391x9353 rep1,F8
1565,2,19,E,4,6153,parent
1328,2,19,E,5,1585,parent
758,2,19,E,6,6244x6173 rep2,F8
